CLUB_NAME,CLUB_LOGO,TOTAL_NUMBER_OF_GAMES_PLAYED,TOTAL_NUMBER_OF_WINS,TOTAL_NUMBER_OF_LOSSES,GOALS_FOR,GOALS_AGAINST
Liverpool,,19,14,4,47,19
Arsenal,,20,11,7,39,20
Nottingham Forest,,20,12,4,29,20
Chelsea,,20,10,6,39,20
Newcastle United,,20,10,5,34,20
Manchester City,,20,10,4,36,20
Bournemouth,,20,9,6,30,20
Aston Villa,,20,9,5,30,20
Fulham,,20,7,9,30,20
Brighton & Hove Albion,,20,6,10,30,20
Brentford,,20,8,3,38,20
Tottenham Hotspur,,20,7,3,42,20
Manchester United,,20,6,5,23,20
West Ham United,,20,6,5,24,20
Crystal Palace,,20,4,9,21,20
Everton,,19,3,8,15,19
Wolverhampton Wanderers,,20,4,4,31,20
Ipswich Town,,20,3,7,20,20
Leicester City,,20,3,5,23,20
Southampton,,20,1,3,12,20
